sentence,label
一百多和三十的也看不出什么区别，包装精美，质量应该不错。,1
质量很好 料子很不错 做工细致 样式好看 穿着很漂亮,1
会卷的 建议买大的小的会卷 胖就别买了 没用,0
大差了 布料很差 我也不想多说,0
一点也不好，我买的东西拿都拿到快递员自己签收了还不给我，恶心恶心恶心，不要脸不要脸,0
不错的传统小吃，赞赞赞。,1
香气跟以前的不一样，不知道是不是假的，以前的香气很好闻。,0
客服推荐的尺码合适，发货也很快，下次还会光顾的,1
一直用金蝶的财务产品非常棒,1
太失望了，根本不值这个价,0
垃圾，一个星期就坏了，联系客服到现在都没人管。真心别买，我要说谎我王八,0
咳咳咳咳咳咳咳咳咳咳别呵呵,1
质量特别差买来第一天玩就烂了,0
第一次给差评，鞋垫的胶凹凸不平，感觉不是正品,0
差评，客服永远不在，四天后才发的货，衣服木有以前买的好，感觉设计比例有问题，挂肩太短勒人。,0
哎呀很失败的一次网购，下单前和客服人员勾通简直东西无可挑剔，收到货并不是客服人员说的那样。真是伤心。,0
用了很多年了，一直在药店买，这个感觉没有在药店买的好，药店用一次可以管五六天，这个只管三四天，实话实说。,0
看了那么多牌子，还是觉得米高质量好，就是价钱也贵，年中大促还是划算,1
非常好看，可以试试戴戴,1
这本书觉得买错了，没有什么用处。,0
这两件 还可以 不满意的是少送了一件 就是那个打底裤 哭死,0
不粘，很好洗，也不烫手,1
说是五包的既然只有四包，一点味道都没有,0
比较简单，适合小朋友,1
写的还行，有调查研究,1
茶壶工艺非常细致。质量特别好。一看就是正品货。原来还担心运输中破损。收到打开一看完好无缺,1
客户真厉害? 上天了 有疑问就消失,0
太失望了，与想象中的超大区别！,0
奥米加 维生素C泡腾片 VC饮品 4g*20片（新老包装随机发放） 好好红红火火恍恍惚惚 好不错,1
值得购买，不错超给力,1
太慢了，物流速度。。太让人失望了???,0
买了茶壶，就也看了这款，一套下来价格实惠不说，使用的材质没得说，好。 满意,1
还没用，不知道这个要看自己家里架子结构的,1
店家发的货不是我预定的款式，缺少货源，还告诉我有货，结果发过来的不是我想要的，用起来还可以吧，算得上结实了。,0
脱色严重，应该是去年的产品,0
瑕疵太明显，拿去鉴定，一会追加评论！,0
很不错，质量挺好的，穿着蛮舒服,1
这本书缺货等了很久，书也是灰扑扑的，质量还可以，内容也是浅显，适合初级者。,0
*一天的价格到处都是，糗大了,0
实物和颜色差很多，客服一直车轱辘话，不承认，换货还要自己付运费，写的北京发货，山东发的，问客服客服一直说是的，山东发货的。太差劲的客服。,0
东西一般。送的东西和不符,0
很好看，穿起来也可以，不磨脚，,1
正品很舒适值得推荐给大家,1
画的有意境，神话、童话演绎的出神入化。好看！,1
质量很好，颜色没有图片那么红，总的来说很好，价格便宜,1
很好的卖家，东西质量好，还送实用配件，赞一个。就是盒沒有说明书和保修卡可能验货时忙了放入吧!,1
安装工人很负责人，都给调试好了,1
千万不能买，根本不值,0
给人的信誉不好，运费出了快递还要在收钱,0
加了的小朋友都很喜欢吃，一次买了很多，就只是店家不变通，我们家都有几个酸奶机了，但是他都不能把酸奶机改为酸奶，但是总体服务还是不错，赞赞赞,1
此品只能做小孩玩具!,0
质量太不满意，并且还乱发货。完全与上面说的是两个样,0
音色很好，价格比较划算，挺好的，非常满意,1
适合考前练练笔。应试用。,0
明明是正版的！但是和书店里的书全彩页的不同 这本书里面一半都是黑白的 有些图根本不能看，没对比的 太傻了,0
颜色有些差别 质量还可以 ，,1
3.适合0-6岁小朋友阅读,0
这个字帖不错，既可以练字，还可以看看宋词,1
虽然等了很久有些不爽，但是收到宝贝试了下，感觉还不错，挺舒服的，还是给个好评吧！继续完善吧，物流上，差点误事呢,1
这个膜是5.5的么 小了一圈啊,0
裤子己收到，看上去还好,0
书买了，儿子没怎么看,1
原厂配件，包装挺好。,1
今天终于收到货了，整整用了10天啊！这叫什么快递啊，简直就是慢递啊！感觉此包还不错。,1
看了半天还是相信西门子这种大品牌,1
根本没反应。申请退款也被拒绝，无语。,0
很方便，但音质差点。,1
。。。。。。。不错，擦，十个字,1
买的椒盐的，结果是浓浓的奶油味，很讨厌这种浓浓的食品添加剂的味道。。,0
"夜光豆不太好用,还待考证",0
质量很差，一次没穿就扔掉了，垃圾,0
书很好，值得一看。快递送货很及时。,1
这垃圾桶真心不好，底不平，放不稳,0
衣服洗了还发毛，太差了。,0
试卷内容错误不少，根本没法儿用，要知道，这是教辅材料呀！,0
质量太次了，杯盖竟然拧不紧，厂家出厂是怎么做的出厂合格检查的呀，配送出奇的慢呀慢呀的。坚决退货，望退货款会回的快快滴！！！,0
满意个屁什么破玩意根本充不进电垃圾都别买了骗子退货还得自己拿运费大骗子,0
不好吃啊不好吃啊不好吃啊不好吃啊不好吃啊,0
玫瑰花很好看，质量非常好，卖家服务态度非常满意！还会光顾！,1
用它来帮宝宝洗澡确实会方便很多，但是宝宝身体泡不到水里，所以夏天用会更好，冬天用的话怕会冷到。,1
太小又太贵，后来我去市场买，才1毛钱一个，还是大号的，可以装包烟,0
质量很好哦，不起球，面料很舒服.,1
儿子很喜欢，感觉不错，还行，性价比很高！值得购买！,1
还不错，挺实用的吧。。。,1
这价钱就这样，凑合吧！,1
钱岀了 货没到 什么意思 ？？？？,0
非常没有。。。。。。。。,1
女儿收到很高兴 穿上特别漂亮，照镜子高兴了半天，我检查了下质量和做工都不错。,1
鞋子收到了 大小刚刚好 做工很仔细 款式很大方 也没有色差 非常的满意,1
垃圾产品刚收到负耳机都是烂的，,0
还可以，什么价钱什么货！,1
有股淡淡的味道，不错，清洁效果好，使用放心。,1
这是给家人买的 挺不错的 老人说带着舒服 好评,1
图片与实际商品不相符合，望商家实践求实拍图片,0
不错，快递速度点赞哦,1
太小的，好像不是我想要的那种哦。,1
很好很好很好快快活活,1
很好看，立体切割，半透明，很大气，运送过程等过关等了好久。其余都好,1
安装挺费力，得摸索。质量挺好的，起步速度很快。,1
烂东西，不让退货，鄙视,0
包包不错，特别喜欢，做工精细！朋友还想让我代买一个！下次还会光临哦！,1
这个包是我为了凑单不得已买的的，*，很失望，首先太小，其次质量很差，很单薄，*的东西，诶呀呀,0
鞋型很好看，比较经典，走起路来脚底很静音，主要是皮革太硬，鞋舌头磨脚脖子?,1
已穿，质量还是不错的,1
盖没有拧紧，洗发膏有些粘在盖子的周围；打开盖子里面应该有一层包装，防止洗头膏流出。这个却没有，及其怀疑其品质。,0
质量非常不错，没有色差。穿起来超舒服。这个价格很实惠，,1
东西不错可以可以可以哈,1
卷寿司不好用，只能用作切寿司,0
一共12本，我还差一本，第一册！！！,0
总体还行，价格实惠，就是设计上有点小缺陷,1
真的不错 做工可靠 孩子很喜欢 物流也给力,1
亮度不错灯泡不错穿透力好,1
使用感觉不错 还没进过水,1
皮质不错哦，是真皮的呢、,1
太贵了，现在都是办卡送的,0
很结实的样子，有点分量啊,1
垃圾东西买回来就是坏的！大家千万别买！买了就上当！说的挺好！其实就是垃圾东西！买完就后悔！以后在也不会来这里买衣服！京东竟然有这样的垃圾东西！一颗星都不想给！奶奶的！垃圾,0
不是很好，没什么用，建议,0
要我说真是一颗星都不情愿给，物超所值不说，质量超级不好，入手2个月不到，又没有摔，已经坏2个花瓣了。奉劝打算入手的朋友要慎重呀！,0
质量好，价格不贵，还可以，同事说不错。,1
超喜欢，还想再买一件,1
不错，和我在实体店花90元买的质量一样好，音量键，锁屏键都贴合的非常好，最重要的是实体店买的没有下面的防尘塞，而这个自带防尘塞，非常好,1
大品牌用的放心，还不错,1
不好看，纸质不好，便宜没好货,0
壶挺好，精致小巧，但是底下的木质小茶海实在质量太次，裂了好几个口子，有的口子还裂的特别长，我都服了，出厂就不能检查一下吗？！,0
刚用半个月不到，即出现无法接电话的问题，等待售后中……,0
时尚大方，穿着舒适，质量很好，无色差！会再来,1
买了六个，好看，白亮,1
